ds,mtd,rev,type,ytd
2014-07-17,720,23,estate,14988
2014-07-17,100167,2450,income.withheld,1677618
2014-07-17,727,53,income,62440
2014-07-17,289,1,railroad,4620
2014-07-17,3678,24,excise,61590
2014-07-17,9871,401,corporate,264151
2014-07-17,83,6,unemployment,7910
2014-07-17,24,0,estate,480
2011-04-25,4188,529,estate,5768
2011-04-25,120256,9644,income.withheld,1020213
2011-04-25,18087,-5,income,23821
2011-04-25,321,12,railroad,2769
2011-04-25,3323,116,excise,36280
2011-04-25,30267,52,corporate,126346
2011-04-25,355,40,unemployment,2524
2011-04-25,1799,-254,estate,2107
2012-03-19,660,44,estate,5887
2012-03-19,120175,11292,income.withheld,871136
2012-03-19,774,51,income,7384
2012-03-19,245,35,railroad,2152
2012-03-19,3004,10,excise,32016
2012-03-19,28069,497,corporate,106169
2012-03-19,48,3,unemployment,3206
2012-03-19,14,0,estate,189
2015-12-01,57,57,estate,3852
2015-12-01,14381,14381,income.withheld,360356
2015-12-01,92,92,income,5759
2015-12-01,31,31,railroad,944
2015-12-01,17,17,excise,12643
2015-12-01,44,44,corporate,16146
2015-12-01,3,3,unemployment,679
2015-12-01,1,1,estate,219
2013-01-22,894,83,estate,4189
2013-01-22,128753,13571,income.withheld,607315
2013-01-22,4363,61,income,7447
2013-01-22,297,33,railroad,1425
2013-01-22,2999,19,excise,22144
2013-01-22,8759,42,corporate,82313
2013-01-22,234,34,unemployment,877
2013-01-22,33,1,estate,117
2011-03-08,51,16,estate,1425
2011-03-08,53151,2012,income.withheld,791027
2011-03-08,331,43,income,4935
2011-03-08,100,1,railroad,2147
2011-03-08,1256,18,excise,27369
2011-03-08,1208,248,corporate,73815
2011-03-08,24,3,unemployment,2101
2011-03-08,12,5,estate,269
2013-09-24,877,81,estate,19152
2013-09-24,129302,1455,income.withheld,1926800
2013-09-24,5147,41,income,56749
2013-09-24,311,1,railroad,5219
2013-09-24,4243,277,excise,76396
2013-09-24,57643,140,corporate,305782
2013-09-24,183,1,unemployment,8496
2013-09-24,24,1,estate,758
2018-01-26,2042,39,estate,7466
2018-01-26,205387,8317,income.withheld,821881
2018-01-26,16862,110,income,29902
2018-01-26,475,32,railroad,1822
2018-01-26,4291,473,excise,25462
2018-01-26,8573,76,corporate,87788
2018-01-26,501,60,unemployment,1271
2018-01-26,82,0,estate,274
2013-11-22,1961,69,estate,3702
2013-11-22,122168,6655,income.withheld,278922
2013-11-22,509,27,income,2546
2013-11-22,259,10,railroad,668
2013-11-22,3612,45,excise,9086
2013-11-22,3197,26,corporate,13324
2013-11-22,43,1,unemployment,607
2013-11-22,53,1,estate,108
2017-07-06,221,49,estate,16758
2017-07-06,50258,10260,income.withheld,1868135
2017-07-06,399,69,income,112187
2017-07-06,101,8,railroad,4575
2017-07-06,95,39,excise,58504
2017-07-06,169,36,corporate,246639
2017-07-06,18,4,unemployment,7494
2017-07-06,13,3,estate,2407
2016-02-10,455,112,estate,7800
2016-02-10,83542,7351,income.withheld,836973
2016-02-10,640,73,income,22076
2016-02-10,298,46,railroad,2108
2016-02-10,901,454,excise,26572
2016-02-10,628,103,corporate,104104
2016-02-10,2381,11,unemployment,4072
2016-02-10,34,4,estate,356
2014-04-16,997,314,estate,9910
2014-04-16,96545,8423,income.withheld,1173504
2014-04-16,31891,4315,income,45506
2014-04-16,258,36,railroad,3142
2014-04-16,3559,17,excise,40636
2014-04-16,42207,318,corporate,173990
2014-04-16,177,17,unemployment,4687
2014-04-16,65,2,estate,373
2012-10-18,755,98,estate,755
2012-10-18,97246,1888,income.withheld,97246
2012-10-18,1198,47,income,1198
2012-10-18,246,0,railroad,246
2012-10-18,2625,8,excise,2625
2012-10-18,8402,32,corporate,8402
2012-10-18,62,4,unemployment,62
2012-10-18,16,1,estate,16
2013-12-23,967,28,estate,4919
2013-12-23,146396,19515,income.withheld,462315
2013-12-23,768,72,income,3470
2013-12-23,271,43,railroad,1099
2013-12-23,3344,75,excise,15584
2013-12-23,59820,206,corporate,74102
2013-12-23,36,3,unemployment,650
2013-12-23,64,1,estate,184
2018-02-27,1709,48,estate,9357
2018-02-27,189829,3002,income.withheld,1043726
2018-02-27,2755,190,income,33289
2018-02-27,647,2,railroad,2597
2018-02-27,4214,477,excise,31796
2018-02-27,2788,34,corporate,93575
2018-02-27,249,4,unemployment,4284
2018-02-27,334,12,estate,642
2016-01-11,494,72,estate,6568
2016-01-11,80957,13644,income.withheld,643274
2016-01-11,2146,619,income,11110
2016-01-11,157,45,railroad,1516
2016-01-11,290,87,excise,19474
2016-01-11,446,130,corporate,95108
2016-01-11,70,14,unemployment,862
2016-01-11,14,2,estate,299
